"country","gdp","gini","region"
"Slovenia",23800,25.6,"Europe"
"Solomon Islands",1440,37.1,"Asia & Pacific"
"South Africa",7560,63.1,"Africa"
"South Korea",26100,31.6,"Asia & Pacific"
"South Sudan",731,45,"Africa"
"Spain",30500,36.2,"Europe"
"Sri Lanka",3650,39.6,"Asia & Pacific"
"St. Kitts and Nevis",16700,40,"South/Latin America"
"St. Lucia",8490,42.6,"South/Latin America"
"St. Vincent and the Grenadines",6580,40,"South/Latin America"
"Sudan",1830,35.4,"Arab States"
"Suriname",8460,61,"South/Latin America"
"Sweden",56300,28.8,"Europe"
"Switzerland",76600,32.4,"Europe"
"Tajikistan",936,33.7,"Asia & Pacific"
"Tanzania",872,37.8,"Africa"
"Thailand",5740,36.6,"Asia & Pacific"
"Timor-Leste",909,28.6,"Asia & Pacific"
"Togo",631,43.5,"Africa"
"Tonga",3900,37.5,"Asia & Pacific"
"Trinidad and Tobago",16800,41.3,"South/Latin America"
"Tunisia",4310,35.8,"Arab States"
"Turkey",13900,41.6,"Europe"
"Turkmenistan",6690,46.4,"Asia & Pacific"
"Tuvalu",3430,39.1,"Asia & Pacific"
"Uganda",900,41.9,"Africa"
"Ukraine",2830,24.8,"Europe"
"United Arab Emirates",40200,40,"Middle east"
"United Kingdom",42000,33.4,"Europe"
"United States",52100,41.3,"North America"
"Uruguay",13900,40.1,"South/Latin America"
"Uzbekistan",2140,33.5,"Asia & Pacific"
"Vanuatu",2780,37.6,"Asia & Pacific"
"Venezuela",NA,46.9,"South/Latin America"
"Vietnam",1670,35.1,"Asia & Pacific"
"Yemen",785,36.7,"Middle east"
"Zambia",1640,57,"Africa"
"Zimbabwe",1230,43.2,"Africa"
"Holy See",NA,40,"Europe"
"North Korea",NA,37,"Asia & Pacific"
"Somalia",NA,48,"Arab States"
"Syria",NA,35.2,"Asia & Pacific"
"Norway",90000,27.1,"Europe"
"Suriname",8460,61,"South/Latin America"
