"","country","gdp","gini","region"
"140","Qatar",65100,40,"Middle east"
"141","Romania",9710,32.1,"Europe"
"142","Russia",11400,38.8,"Europe"
"143","Rwanda",768,45.3,"Africa"
"144","Samoa",3560,42.1,"Asia & Pacific"
"145","San Marino",48600,40,"Europe"
"146","Sao Tome and Principe",1240,30.8,"Africa"
"147","Saudi Arabia",21400,40,"Middle east"
"148","Senegal",1380,40.3,"Africa"
"149","Serbia",6160,35.2,"Europe"
"150","Seychelles",13200,46.8,"Africa"
"151","Sierra Leone",441,34,"Africa"
"152","Singapore",54000,40.9,"Asia & Pacific"
"153","Slovak Republic",18900,26.7,"Europe"
"154","Slovenia",23800,25.6,"Europe"
"155","Solomon Islands",1440,37.1,"Asia & Pacific"
"156","South Africa",7560,63.1,"Africa"
"157","South Korea",26100,31.6,"Asia & Pacific"
"158","South Sudan",731,45,"Africa"
"159","Spain",30500,36.2,"Europe"
"160","Sri Lanka",3650,39.6,"Asia & Pacific"
"161","St. Kitts and Nevis",16700,40,"South/Latin America"
"162","St. Lucia",8490,42.6,"South/Latin America"
"163","St. Vincent and the Grenadines",6580,40,"South/Latin America"
"164","Sudan",1830,35.4,"Arab States"
"165","Suriname",8460,61,"South/Latin America"
"166","Sweden",56300,28.8,"Europe"
"167","Switzerland",76600,32.4,"Europe"
"168","Tajikistan",936,33.7,"Asia & Pacific"
"169","Tanzania",872,37.8,"Africa"
"170","Thailand",5740,36.6,"Asia & Pacific"
"171","Timor-Leste",909,28.6,"Asia & Pacific"
"172","Togo",631,43.5,"Africa"
"173","Tonga",3900,37.5,"Asia & Pacific"
"174","Trinidad and Tobago",16800,41.3,"South/Latin America"
"175","Tunisia",4310,35.8,"Arab States"
"176","Turkey",13900,41.6,"Europe"
"177","Turkmenistan",6690,46.4,"Asia & Pacific"
"178","Tuvalu",3430,39.1,"Asia & Pacific"
"179","Uganda",900,41.9,"Africa"
"180","Ukraine",2830,24.8,"Europe"
"181","United Arab Emirates",40200,40,"Middle east"
"182","United Kingdom",42000,33.4,"Europe"
"183","United States",52100,41.3,"North America"
"184","Uruguay",13900,40.1,"South/Latin America"
"185","Uzbekistan",2140,33.5,"Asia & Pacific"
"186","Vanuatu",2780,37.6,"Asia & Pacific"
"187","Venezuela",NA,46.9,"South/Latin America"
"188","Vietnam",1670,35.1,"Asia & Pacific"
"189","Yemen",785,36.7,"Middle east"
"190","Zambia",1640,57,"Africa"
"191","Zimbabwe",1230,43.2,"Africa"
"192","Holy See",NA,40,"Europe"
"193","North Korea",NA,37,"Asia & Pacific"
"194","Somalia",NA,48,"Arab States"
"195","Syria",NA,35.2,"Asia & Pacific"
